review_id,user_id,restaurant_id,review_text,rating,timestamp
63,63,7,"Makanan super enak ini restaurant lama yang saya sudah tahu cukup lama ,soal rasa tidak di ratusan, harga ok bangat sebanding dengan porsi ,untuk lama masakan tidak lama lah , cobain disini bikin nagih makanan nya 👍👍👍👍👍👍 …",3.0,05/08/24 05.29
64,64,7,Resto paling lama sudah setengah jam masuk orderan dari td kebuang waktu saya di restoran 168,4.0,24/04/25 16.52
65,65,7,Restoran kont*l !! JANGAN MAO ORDER MAKANAN ONLINE DISINI KALO GAMAO MATI KELAPARAN !! Pesenan baru dibuatin setelah driver sampe. Padahal sistem orderan udh masuk 10-30 menit sebelum dpt driver. Belom lg yg lelet bgt kerjanya! nunggu hampir 1 jam!!,4.0,21/07/24 17.29
66,66,7,"sistem gojek itu orderan masuk ke resto harus langsung dibuatkan karna orderan masuk ke driver itu beda 10 sampai 30 menit supaya driver gak menunggu lama,tp knpa kalian baru buatkan pesanan ketika driver baru datang?",3.0,28/09/24 16.53
67,67,7,"kalian kalo gak paham system orderan online tanya jgn bodoh,orderan udah masuk di resto 30 menit yg lalu,masuk kedriver nya lama dan ketika driver Dateng kalian baru buatin?? yg kena omel ya krna lama sama pelanggan ya drivernya !!!",5.0,11/07/25 01.22
68,68,7,Lama bgt nunggu makanannya,5.0,08/04/25 08.24
69,69,7,"Sebelahan sama Indomaret. ini resto chinesse. aku juga belum tau kehalalannya. jadi mending tanya tanya dulu kalo mau makan disini. Saya pribadi pernah makan disini, katanya si Halal. cuma pas udah selesai makan kok rasanya kaya ada yang …",3.0,13/06/25 20.11
70,70,7,"jgn order online disini kalo gak pengen mati kelaparan,prosesnya lama bgt udh gtu driver Dateng baru dibuatin",4.0,22/07/24 11.00
71,71,8,Restoran Tjahaja Abadi merupakan restoran baru di kawasan Blok M. Tempatnya bernuansa oriental dengan seating area indoor yang cukup nyaman untuk ukuran Blok M karena tidak sueprnsempit dan ber-AC. …,3.0,29/09/24 20.55
72,72,8,Tempat makan yang menjual chines food. Namun bukan makanan chines food yang biasa kita rasakan. Kita akan merasakan masakan chines food yg berbeda daripada umumnya.sepertinya punya karakter …,4.0,16/03/25 07.36
73,73,8,"Gohyongnya lembut, bumbunya kerasa, enak banget pokoknya. Paling suka sama chicken butter garlic, dan nasi goreng yangchow. Penyajian makanan juga cepet kok sekarang, ga kayak review² di awal yang katanya lama. Bahkan tadi belum ada 30 menit makanan udah dateng semua. Dekorasi restonya juga unik banget.",5.0,28/10/24 07.20
74,74,8,"Enak22 makanan nya, paling favorite ayam cabai garam dan wonton chili oilnya! chili oil nya pakai mala jadinya unique dan wangiiii",3.0,22/08/24 03.29
75,75,8,"Waktu itu aku order Nasi Goreng Seafood dan Ayam Kungpao. Sumpah aku jatuh cinta sama ayam kungpaonya! Rasanya pas, gurih manisnya nyatu banget. Trus ayamnya tuh tipikal yg dikasih tepung maizena jadi lembut gituloh. Nasi gorengnya juga enak, porsinya banyak, nasinya pera. Love bgt! Vibesnya perakanan & playlist lagunya jadul. 💜💜💜 …",5.0,07/06/25 23.33
76,76,8,tempat makan yang terbaru di blok m pasaraya tepatya di gang viral.berbeda dr yang lain menyajikan makanan chines peranakan wajib bngt buat agenda makan siang atau makan mlem.recomend bngt si nasi goreng yanchou.,5.0,29/04/25 09.27
77,77,8,"Kalau mau makan disini saran saya anda harus sabar dan gak boleh buru-buru. Makan siang dengan menu basic nasi goreng dan bakmie di sajikan 1,5 jam tanpa …",4.0,23/09/24 14.19
78,78,8,Comfort food banget dan tempatnya nyaman dan oke u kumpul keluarga,5.0,08/08/24 14.04
79,79,8,"Pesan mie hongkong wonton yang katanya banyak diorder. Enak, mie kecil. Kuah juga OK.",4.0,30/10/24 21.12
80,80,8,"Baru sekali ini nge-rate resto bintang 1, dengan background story: 1. Pelayan tidak menguasai menu: nanya bedanya Mie Hongkong Charsiu Wonton …",5.0,21/05/25 15.23
81,81,9,Lagi ngapjay liat kang dimsum dah buka akhirnya nyoba yang kombinasi sama lumpia. …,4.0,15/11/24 16.13
82,82,9,Mampir kesini karena mau sambil nungguin tukang nasi goreng kebuli buka lapak dulu. Tempatnya ada di samping apotik Century. Tempat dimsum ini tergabung di satu area tempar jajanan gitu. Tersedia meja dan kursi buat kalian yang mau makan di …,3.0,02/03/25 05.22
83,83,9,"Dimsum ini enak ukuran gede2 harga terjangkau, wajib di coba deh, isinya 5 satu plate",3.0,30/11/24 04.50
84,84,9,"Ini salah satu dimsum yang harganya murah dan rasanya enak. Walaupun tempatnya biasa aja sih, gabungan gitu sama makanan2 lain. Disini ada cekernya juga.",5.0,27/06/25 00.16
85,85,9,"Yuhuuu malem2 makan dimsum, setelah cobain ini, kurang berasa masih agak manis. Order yang kombinasi 1 porsi dan ceker. Ekspektasinya ceker pake angkak. Nah ini lebih mirip semur hehe",3.0,01/08/24 08.57
86,86,9,Harga sangat bersahabat tp rasa ttp cukup enak.,5.0,27/07/24 20.24
87,87,9,"Enak, harga masuk akal. Cuma tempatnya kurang nyaman, panaaaass!",5.0,27/07/24 15.59
88,88,9,"Bintang berbicara, cuma parkir agak sulit",5.0,11/09/24 03.24
